Topic,Count,Name,Representation,Representative_Docs
50,672,50_margin_adjusted_percentage_increased,"['margin', 'adjusted', 'percentage', 'increased', 'decline', 'recorded', 'revenue growth', 'lower', 'revenue', 'margins']","['Recorded music adjusted OIBDA declined 16% to $72 million and recorded music adjusted OIBDA margin was down 2 percentage points to 14%.', 'Recorded Music adjusted OIBDA grew by 24% to $77 million and adjusted OIBDA margin expanded by 2 percentage points to 13%.', 'Backing out these items, adjusted OIBDA for the quarter declined by 15% to $94 million, and adjusted OIBDA margin contracted by 3 percentage points to 12%.']"
51,665,51_financial results_impact_material_acquisitions,"['financial results', 'impact', 'material', 'acquisitions', 'restructuring', 'financial', 'earnings', 'effect', 'expect', 'agreements']","[""We don't expect the impact of any change or reclassification to be material."", ""The net financial impact resulting from these separate but interrelated processes does not generally have a material impact on the Company's results of operations."", 'Based on the proposed settlement terms, the company does not expect this matter to have a material impact on its operations or financial position or any impact on historical financials.']"
52,658,52_calls_look forward_note_pleased,"['calls', 'look forward', 'note', 'pleased', 'helping', 'today', 'coming', 'meet', 'happy', 'continuing']","['Thanks to everyone joining us on the call today.', 'And thank you all for joining us on the call today.', 'Thank you, [Rae], and thank you all for joining us on the call today.']"
53,644,53_financial results_comparable_earnings_metrics,"['financial results', 'comparable', 'earnings', 'metrics', 'financial', 'measure', 'expenses', 'revenue growth', 'press release', 'reflects']","['Reconciliations of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the financial tables included at the end of our press release.', 'A reconciliation of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the tables included at the end of our press release.', 'A reconciliation of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the financial tables included in our press release.']"
54,629,54_market_industry_sales_customers,"['market', 'industry', 'sales', 'customers', 'marketplace', 'consumer', 'brand', 'purchase', 'selling', 'economy']","[""But I -- to be really straight-up on this, there's a lot of unknowns that we're dealing with right now, how the vehicles are going to sell, the damage."", ""Under the leadership of Brian Skutta, our dealer sales and service team has been focusing on, first, aligning pricing with the value we've been delivering based upon our fully accountable business model; second, further enhancing our dealer acquisition strategy to strategically fill coverage gaps across the network; and third, rolling out a new strategy around independent dealers designed to grow our independent dealer base and increase used car inventory."", ""I think, a lot of customers or folks out there would rather buy used cars just because new cars have become so expensive, used cars are of good quality, they're certified new or whatever they call it and so.""]"
55,625,55_quarter year_year quarter_month_october,"['quarter year', 'year quarter', 'month', 'october', 'december', 'june', 'february', 'november', 'september', 'trend']","[""Last year's monthly trend was a 5% increase in February, a 3% decline in March, and a 3% increase in April."", ""Comps by period on this fiscal basis is 8.2% for the first 27 days of the 28-day October period and we're targeting three-quarters of a point to two and a quarter points of comp for November and 2.75% to 4.25% of comp for December."", ""As a point of reference, U.S. comps had increased 2% in last year's first quarter and the monthly trend had been negative 2% in February, positive 1% in March and positive 6% in April.""]"
56,610,56_billion_investment_million_funds,"['billion', 'investment', 'million', 'funds', 'quarters', 'total', 'quarter', 'net', 'equity', 'assets']","['And for the quarter, advisory net inflows were $2.8 billion.', 'We had net outflows of $5.8 billion in the quarter.', 'Client wrap assets were approximately $106 billion, with net inflows of $2.3 billion for the quarter.']"
57,581,57_new products_new product_product_products,"['new products', 'new product', 'product', 'products', 'market share', 'marketing', 'industry', 'market', 'introduced', 'sales']","['We have now launched our Ion product worldwide and we will be introducing additional new products, including our new Natura line, Natura Pro, beginning in the second quarter 2006.', 'We have now launched our Innova and Applause product families worldwide and we have new products including our exciting new open ear product, Ion, coming in the second quarter.', ""Seventy-four percent of the Danish subjects preferred Sonic's product over that of Auticon, another market leader.""]"
58,550,58_summer_new_offerings_traditional,"['summer', 'new', 'offerings', 'traditional', 'produce', 'introduced', 'make', 'improved', 'mix', 'exciting']","['During the summer we will introduce several new salads and re-introduce some perennial favorites.', ""This sandwich features our new higher-quality turkey, utilizing the sous vide cooking method that we've rolled out throughout the system."", 'We also introduced a new and improved not Napa almond chicken salad sandwich this summer.']"
59,536,59_managing_manage_costs_management,"['managing', 'manage', 'costs', 'management', 'strategic', 'maintain', 'maintaining', 'expenses', 'organization', 'business']","['Even during the transformation of our business, we continue to be focused on aggressively managing our industry leading cost structure, working to improve productivity and drive cost out of our business.', 'We continue to manage our cost structure and seek out ways to take costs out of the Business.', 'We continue to aggressively manage our cost structure in this business.']"
60,529,60_brand_market_consumer_products,"['brand', 'market', 'consumer', 'products', 'business', 'markets', 'company', 'successful', 'profitable', 'selling']","['Today the Avon brand has nearly 100% awareness in our top markets and is the #1 direct selling beauty company in the world.', 'First, to strengthen our brand value and improve the Avon brand equity on the vertical axis.', 'The Avon brand has greater than 90% brand recognition with 100% brand awareness in our key markets.']"
61,528,61_acquisitions_acquisition_acquired_companies,"['acquisitions', 'acquisition', 'acquired', 'companies', 'businesses', 'investments', 'markets', 'market', 'business', 'company']","['We continue to actively seek acquisitions that would be accretive within one year.', 'Last up is acquisitions.', 'Secondly, accretive acquisitions.']"
62,515,62_franchise_brand_team_members,"['franchise', 'brand', 'team', 'members', 'company', 'partners', 'delivering', 'support', 'improve', 'efforts']","['We attribute our traction versus competitors to relevant marketing programs, which are bringing guests into Red Robin to enjoy one of our 24 great burgers, to our great Team Members who delight our guests and make them eager to come back, to our Red Robin Royalty loyalty program, and to our brand transformation initiative.', 'So we are reinforcing the brand equities and great guest experience that have always been part of the Red Robin brand.', ""As always, I'd like to thank our great Red Robin team members for their hard work and dedication this last quarter as they continue to transform the Red Robin brand and greet our guests with a healthy dash of bottomless fun and a genuine spirit of service.""]"
63,507,63_payments_payment_issued_financial,"['payments', 'payment', 'issued', 'financial', 'provide', 'contract', 'south', 'accounts', 'businesses', 'services']","['There have been several tenders we have responded to jointly and in some cases, we have hosted delegations from countries wishing to see what we have accomplished in South Africa.', 'SASSA filed this decision with the Constitutional Court of South Africa and at the same time advised the court that they will submit a plan regarding the insourcing of the payment system after the conclusion of the contract.', 'For example, SASSA cards are branded MasterCard and, as such, form part of the National Payment System and, therefore, must be issued by the South African bank and must conform to all of the South African Reserve Bank and Payment Association of South Africa regulations.']"
64,504,64_tax_income_fiscal_rates,"['tax', 'income', 'fiscal', 'rates', 'expense', 'earnings', 'benefit', 'benefits', 'profits', 'decrease']","['This more favorable tax rate is primarily due to increased tax credits, as well as lower effective state income tax rates.', 'The lower effective tax rate was due to the additional utilization of foreign tax credits from the repatriation of higher taxed foreign earnings as well as higher income in lower tax jurisdictions.', ""This provisional income tax expense included a onetime transition tax of $4.6 million on a mandatory deemed repatriation of cumulative foreign earnings, which was offset by a $1.4 million income tax benefit related to the remeasurement of certain deferred tax assets and liabilities based on the lower tax rate of which they're expected to be realized.""]"
65,491,65_challenges_trends_2020_health,"['challenges', 'trends', '2020', 'health', 'efforts', 'risk', 'government', 'particularly', 'work', 'impacted']","['We continue to expect this, notwithstanding the COVID-19 pandemic.', 'The COVID-19 outbreak is a challenge unprecedented in modern time.', 'The COVID-19 pandemic has been a challenge to our business.']"
66,476,66_billion_estimated_total_100 million,"['billion', 'estimated', 'total', '100 million', 'million', 'fiscal year', 'million year', '2011', '250', '150']","['The backlog at the end of December 2011, stands at $3.3 billion and is an increase of 7% from the $3.1 billion at the end of 2010.', 'Total backlog at the end of the fourth quarter is $3.9 billion, up $132 million or 3.5% from December 2015 and flat with backlog at the end of third quarter.', 'As you can see on the chart total backlog at the end of the third quarter is $3.9 billion, up a $138 million or 3.7% from September of 2015 and up a $131 million or 3.5% from December 31.']"
67,470,67_facilities_management_services_facility,"['facilities', 'management', 'services', 'facility', 'building', 'construction', 'service', 'companies', 'infrastructure', 'company']","[""And it's important that not only within EMCOR Facility Services, we perform both industrial services and mechanical mobile and electrical services in our electrical and mechanical business at EMCOR Construction Services."", 'In 1996, EMCOR adopted a long-term operating model, incorporating complementary construction and facilities management services.', 'With the exception of the impact of these construction projects, our EMCOR facilities services operations were profitable for the quarter, even though they suffered from the same shortage of discretionary mobile service work that effected our mechanical businesses.']"
68,468,68_profitability_sales_customers_new products,"['profitability', 'sales', 'customers', 'new products', 'clients', 'customer', 'marketing', 'market', 'offerings', 'products']","[""Onvia's targeted accounts strategy may fail to increase contract value of new customers; Onvia's investment in sales and marketing fails to improve sales penetration and client retention rates; client adoption of Onvia's enterprise solutions may be slower than expected; identifying partners to distribute Onvia's content may be slower than expected; Onvia's market-driven product development process may fail to improve sales penetration and client retention rates; and Onvia's technology may fail to handle the increased demands of its infrastructure caused by increasing network traffic and the volume of aggregated data."", ""The following factors, among others, could cause actual results to differ materially from those described in the forward-looking statements -- Onvia's targeted account strategy may fail to increase contract value of new customers; Onvia's investment in sales and marketing fails to improve sales penetration and client retention rates; client adoption of Onvia's enterprise solutions may be slower than expected; identifying partners to distribute Onvia's content may be slower than expected; Onvia's market-driven product development process may fail to improve sales penetration and client retention rates; and Onvia's technology may fail to handle the increased demands on its infrastructure caused by increasing network traffic and volume of aggregated data."", ""The following factors, among others, could cause actual results to differ materially from those described in the forward-looking statements: Onvia's investments in sales and marketing, technology infrastructure, and content collection and sourcing fails to improve sales penetration and client retention rates; Onvia's technology fails to handle the increased demands on its infrastructure caused by increasing network traffic and the volume of aggregated data; client adoption of new and higher valued products continues to be slower than expected; and Onvia fails to increase the number of clients and/or annual contract value.""]"
69,467,69_morning_good__,"['morning', 'good', '', '', '', '', '', '', '', '']","['Good morning, everyone.', 'Good morning, everyone.', 'Good morning, everyone.']"
70,464,70_conference_excluding_operating_conditions,"['conference', 'excluding', 'operating', 'conditions', 'time', 'mobile', 'based', 'currently', 'online', '']","['At this time, all participants are in a listen-only mode.', 'At this time, all participants are in a listen-only mode.', 'At this time, all participants are in listen-only mode.']"
71,464,71_largest_site_people_million,"['largest', 'site', 'people', 'million', 'successful', 'consumer', 'significantly', '000', 'health', 'unique']","['The site also has a very engaged Facebook community with more than 1.5 million fans.', 'Further, Cracked is also number one humor site on mobile, with 3.5 million unique visitors.', 'ComScore again last week reported that US unique visitors to the site were up more than four times, year over year, in January, and LIVESTRONG.COM became the largest health domain in the US.']"
72,453,72_expenses_expense_costs_quarter fiscal,"['expenses', 'expense', 'costs', 'quarter fiscal', 'quarter year', 'fiscal year', 'quarter 2005', 'million quarter', 'quarter expect', 'quarter compared']","[""We expect next quarter's depreciation expense to be approximately $7.7 million."", 'Depreciation, depletion, and amortization expense in the first quarter was $9.6 million, compared with approximately $8.3 million in the same quarter last year.', 'Depreciation, depletion and amortization expense in the third quarter was $9.2 million compared with approximately $6 million in the same quarter last year.']"
73,431,73_sales_markets_market_selling,"['sales', 'markets', 'market', 'selling', 'prices', 'pricing', 'costs', 'increased', 'production', 'businesses']","['The sales increase was driven by higher volume and selling prices in specialty peroxygens, augmented by higher selling prices in European hydrogen peroxide.', ""Our north American peroxygens business realized higher selling prices in both our hydrogen peroxide and specialty peroxygens' businesses in the quarter."", 'Our North American peroxygens business also performed well in the quarter, realizing higher selling prices and volume growth across both hydrogen peroxide and our specialty peroxygens business.']"
74,430,74_manufacturing_costs_produced_production,"['manufacturing', 'costs', 'produced', 'production', 'europe', 'produce', 'china', 'cost', 'products', 'industry']","['Similarly, in Europe, we ceased light vehicle tire production at our Melksham England plant and will produce many of these units at our Serbia plant.', 'One, finding a new source of high quality cost competitive TBR tires for the North American market; two, finding TBR capacity and distribution for the China and Southeast Asia markets, and three, diversifying our TBR sourcing footprint to include potential production capacity both inside and outside of China to serve global tire markets.', 'The process of phasing out light vehicle tire production at our Melksham facility is going according to plan and will result in a Cooper Tire Europe that is more cost competitive.']"
75,430,75_begin_start_beginning_starting,"['begin', 'start', 'beginning', 'starting', 'll', 'april', 'march', 'june', 'end', 'august']","['You may begin.', 'You may now begin.', 'You may begin.']"
76,419,76_revenue growth_revenue_revenues_recorded,"['revenue growth', 'revenue', 'revenues', 'recorded', 'sales', 'growth', 'quarter compared', 'increases', 'increase', 'year quarter']","['Recorded Music digital revenue grew 8% from the prior year quarter to $172 million, or 22% of total Recorded Music revenue.', 'Nontraditional revenue amounted to about 10% of our recorded music revenue in the quarter.', 'For the year, recorded music revenue grew an impressive 7%.']"
77,409,77_savings_costs_cost_10 million,"['savings', 'costs', 'cost', '10 million', '25 million', '15 million', '100 million', 'million', 'million quarter', '12 million']","['Priced at under $2,000 per system NI Elvis offers dramatic cost savings to educators.', 'This is a savings of $0.5 million in cash from our first-quarter projection.', ""We're already anticipating more than $1 million in cost savings rolling through our P&amp;L this year.""]"
78,391,78_equity_returns_assets_portfolio,"['equity', 'returns', 'assets', 'portfolio', 'return', 'capital', 'percentage', 'percent', 'quarter year', 'average']","['Second, the Company earned a 12% annualized return on tangible common equity.', 'Total return on the equity portfolio for the quarter was 5.1%, which was above the 3.8% return of the S&amp;P 500.', 'These earnings equated to a 0.7% return on average assets and a 10% annualized return on tangible common equity for the full year.']"
79,382,79_effective_benefits_health_use,"['effective', 'benefits', 'health', 'use', 'research', 'using', 'results', 'effect', 'addition', 'demonstrated']","['The Roche sales force is now able to use the tipranavir label and related data to promote the co-administration of FUZEON with tipranavir in treatment-experienced patients who can benefit from the combination of these drugs in their HIV regimens.', 'Similarly, Dr. William Powderly expressed in an expert viewpoint piece on strategies for using new anti-retroviral agents that ""In three class-experienced patients, the use of the fusion inhibitor enfuvertide, with an active boosted PI with demonstrated activity against PI-resistant virus should be the foundation of the new regiment.""', 'The new data illustrates that FUZEON-based regimens continue to provide immunologic and virologic responses in treatment experienced HIV patients through 96 weeks of treatment.']"
80,381,80_network_infrastructure_companies_industry,"['network', 'infrastructure', 'companies', 'industry', '20', 'announced', 'customers', 'future', 'number', '50']","['Swisscom, Proximus and KPN all announced LoRa network deployments in Switzerland, Belgium, Luxembourg and the Netherlands.', ""The number of public or private LoRa network operators increased in Q3 to approximately 123, and we now expect 133 LoRa network operators by the end of fiscal year '20, up from 101 at the end of fiscal year '19."", 'Smart Seoul Network or S-Net announced a LoRaWAN network to provide smart parking, smart street lighting solutions and geolocation use cases in Seoul, Korea.']"
81,373,81_growth_china_supply_production,"['growth', 'china', 'supply', 'production', 'demand', 'industry', 'economic', 'markets', 'balance', 'capacity']","['The expected surplus balance in China is driven by refinery expansions and restarts as well as downward revisions to demand growth from Chinese smelting.', 'In aluminum, it has been reported that smelters have cut 1 million tonnes of annualized capacity in China and 400,000 tonnes of annualized capacity outside of China between March and April.', ""The first, despite China's progress to reform its aluminum industry, is the unfairly subsidized smelting capacity in China that has resulted in an unlevel playing field and surplus production.""]"
82,369,82_sales_sale_revenues_market share,"['sales', 'sale', 'revenues', 'market share', 'profitable', 'business', 'comparable', 'decreased', 'store', 'average']","[""That assumes full year comparable sales at Brick House of about 4% to 5% and that Joe's is somewhere between a negative 3% to flat."", ""For the second quarter, as Ray mentioned, we're currently tracking comparable sales at Joe's of about a negative 0.8% and a positive 8.3% at Brick House."", ""Joe's Crab Shack posted negative comparable sales of 6%.""]"
83,360,83_recorded_today_track_time,"['recorded', 'today', 'track', 'time', 'produced', 'think', '', '', '', '']","[""Today's call is being recorded."", ""Today's call is being recorded."", ""Today's call is being recorded by the request of J.D.""]"
84,354,84_ahead_reported_like_prior,"['ahead', 'reported', 'like', 'prior', 'does', 'results', 'getting', 'favorable', 'versus', 'development']","['Please go ahead.', 'Please go ahead.', 'Please go ahead.']"
85,353,85_income_earnings_revenue_revenues,"['income', 'earnings', 'revenue', 'revenues', 'quarter fiscal', 'tax', 'investment', 'million quarter', 'expenses', 'fiscal']","['Pro forma net income was $3.3m.', 'Pro forma net income is expected to be between a loss of $2 million and an income of $4 million.', 'Pro forma pretax income was $5.6 million and pro forma net income was $3.6 million, as compared to guidance of a loss of $2 million and an income of $4 million.']"
86,353,86_financial results_shareholders_financial_results,"['financial results', 'shareholders', 'financial', 'results', 'equity', 'invest', 'revenue', 'pleased', 'benefits', 'investment']","['Ameriprise delivered another quarter of excellent financial results.', 'Ameriprise delivered excellent financial results this quarter.', 'In Wealth Management, we delivered strong Ameriprise client flows in adviser productivity.']"
87,353,87_morning_good__,"['morning', 'good', '', '', '', '', '', '', '', '']","['Good afternoon, everyone.', 'Good afternoon, everyone.', 'Good afternoon, everyone.']"
88,344,88_prices_pricing_material_price,"['prices', 'pricing', 'material', 'price', 'demand', 'costs', 'cost', 'increased', 'production', 'increases']","['Raw material supplies now appear to be stabilized.', 'We continue to see volatility in raw material prices with increases in our raw material index in June and July.', 'Rising demand has driven raw material costs higher with spot iron ore prices up 8% from the first quarter.']"
89,341,89_development_customers_technical_companies,"['development', 'customers', 'technical', 'companies', 'trend', 'technology', 'industry', 'market', 'customer', 'capabilities']","[""Factors that could cause or contribute to such differences include, but are not limited to, competition in the EDA market, Magma's ability to integrate acquired businesses and technologies, potentially higher than anticipated costs of litigation, potentially higher than anticipated costs of compliance with regulatory requirements, including those relating to internal control over financial reporting; any delay of customer orders or failure of customers to renew licenses, weaker than anticipated sales of Magma's products and services, weakness in the semiconductor or electronics systems industries, the ability to manage expanding operations, the ability to attract and retain the key management and technical personnel needed to operate Magma successfully, the ability to continue to deliver competitive products to customers, and changes in accounting rules."", ""Factors that could cause or contribute to such differences include, but are not limited to, increasing competition in the EDA market, higher than anticipated costs in connection with recent patent litigation with Synopsis, Magma's ability to successfully integrate recently acquired businesses and technologies, the impact of economic slowdown in our customer's markets, any delay of customer orders or failure of customers to renew licenses, weaker than anticipated sales of the company's products and services, difficulties managing the company's expanding operation, the ability to continue to deliver competitive products to customers to help them get their product to market and changes in accounting rules."", ""Factors that could cause or contribute to such differences include, but are not limited to, increasing competition in the EDA market, Magma's ability to successfully integrate recently acquired businesses and technologies, the impact of the economic recession, the effects terrorist activities or events in the Middle East may have on Magma, its customers and industry, any delay of customer orders or failure of customers to renew licenses, weaker than anticipated sales of the company's products and services, weaker in the semiconductor or electronic systems industries, the ability to successfully manage the company's expanding operations, the ability to attract and retain the key management and technical personnel needed to operate Magma successfully, the ability to continue to deliver competitive products to customers to help them get their products to market and changes in accounting rules.""]"
90,340,90_phase_plan_additionally_stage,"['phase', 'plan', 'additionally', 'stage', 'demonstrated', 'results', 'planned', 'quarter 2016', 'second', 'ongoing']","['We are poised to begin a Phase 3 trial in the atopic dermatitis indication and have completed enrollment in both the Phase 2B trial in asthma and a Phase 2A trial in nasal polyposis.', 'In 2013, the phase 2a study of dupilumab in asthma was named the clinical advance of the year by Scrip, and dupilumab is currently in phase 2b in asthma.', 'Dupilumab is also currently in a Phase 2 proof of concept trial in nasal polyposis and a Phase 2b study in asthma.']"
91,337,91_expenses_expense_costs_spending,"['expenses', 'expense', 'costs', 'spending', '15 million', 'million quarter', 'development', '12 million', '10 million', 'quarter 2008']","['Research and development expenses were 8.3 million for the quarter.', 'Research and development expenses for the 2nd Quarter increased to $8.2 million.', 'Research and development expenses for the first quarter increased to $8 million.']"
92,335,92_average_increased_percentage_quarter compared,"['average', 'increased', 'percentage', 'quarter compared', 'percent', 'quarter 2013', 'quarter 2008', 'quarter 2007', 'quarter 2015', 'quarter 2014']","['Average utilization for the third quarter increased from 78.3% to 88%.', 'Average fleet utilization for the first quarter increased to 77.3% from 76.8%.', 'Average utilization for the first quarter increased to 76.1% from 74.2%.']"
93,329,93_china_business_markets_manufacturing,"['china', 'business', 'markets', 'manufacturing', 'america', 'marketing', 'north america', 'europe', 'united states', 'international']","[""In China, we've aligned our interests with the Internet giant Tencent."", 'As is our business in China.', 'in countries like India and China.']"
94,327,94_lines___,"['lines', '', '', '', '', '', '', '', '', '']","['All lines have been placed on mute to prevent any background noise.', 'All lines have been placed on mute to prevent any background noise.', 'All lines have been placed on mute to prevent any background noise.']"
95,323,95_risk_factors_quarterly_form,"['risk', 'factors', 'quarterly', 'form', 'report', 'provided', 'company', 'changes', 'regarding', 'press release']","[""Risks and uncertainties that may cause results to differ materially from those expressed in these forward-looking statements, including, among others, those risks set forth in the company's public filings with the U.S. Securities and Exchange Commission, including the discussion under the heading Risk Factors in the company's most recent annual form -- annual report on the Form 10-K and any subsequent quarterly report on Form 10-Q."", ""For a list and description of those risks and uncertainties, please see the Risk Factors section of the Company's most recent Annual Report on Form 10-K and subsequent Quarterly Reports on Form 10-Q with the Securities and Exchange Commission."", ""Including discussions under the heading Risk Factors in the Company's most recent Annual Report on Form 10-K, and subsequent quarterly reports on Form 10-Q.""]"
96,308,96_services_partnership_health_technology,"['services', 'partnership', 'health', 'technology', 'offerings', 'clients', 'marketplace', 'providing', 'provides', 'acquisition']","[""Northeast Georgia joined clients including Health Ventures of Central Iowa, St. John's Providence Health System, Edward Hospital, and Altru Health System, who also selected Merge's iConnect Solutions to enable their enterprise imaging strategies."", 'The reaction to the solution has been phenomenal, and many providers and other constituents view imaging inner-operability as the next phase of health care IT adoption.', 'Practices are choosing Merge because our solution will enable them to capture and report on metrics required to demonstrate Meaningful Use of electronic health records.']"
97,307,97_revenue growth_revenues_revenue_growth,"['revenue growth', 'revenues', 'revenue', 'growth', 'growth rate', 'strong growth', 'businesses', 'markets', 'business', 'market']","['Revenue and licenses of Windows Server grew against the backdrop of a declining server hardware market.', 'Windows commercial cloud products and services grew 8%, driven by annuity revenue growth.', 'Server products and cloud services revenue grew 18% with another quarter of double-digit annuity revenue growth.']"
98,304,98_income_revenue_profitability_revenues,"['income', 'revenue', 'profitability', 'revenues', 'million quarter', 'quarter compared', 'year quarter', 'profit', 'year increase', 'quarterly']","['QSI division revenue at $4 million was up approximately 1% over the prior year.', 'Operating income in the NextGen Division was up 74% to 13.785 million compared to 7.916 million a year ago.', 'QSI Division EDI revenue was $1,228,000 for the quarter.']"
